,,,,,,,,,,,Результат,,,,,,,,,,,,,этап 25%,,,,этап 50%,,,,этап 75%,,,,этап 90%,,,
"Электронное имя файла. 
(Коприуем в параметры листа - ""Орг.КомментарииКЛисту"")",Альбом,Код раздела,порядковый номер раздела (при наличии),часть здания,функциональная зона,Тип документа,Подгруппа типа документа (при необходимости,Порядковый номер,Код разработчика,Имя листа,Код документа (DocName/AG_Лист_Код),Электронное имя файла (FileName/AG_Файл_Код),Альбом,Имя документа,Код документа,,,25 %,50 %,75 %,90 %,версия документа,Номер ИЗМ авторского надзора,Номер изменения,Номер ревизии,Плановая дата выпуска,Фактическая дата выпуска,Номер изменения,Номер ревизии,Плановая дата выпуска,Фактическая дата выпуска,Номер изменения,Номер ревизии,Плановая дата выпуска,Фактическая дата выпуска,Номер изменения,Номер ревизии,Плановая дата выпуска,Фактическая дата выпуска
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ОД-0010_И2_Р2,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ОД,,0010,МГ,Общие данные,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ОД-0010,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ОД-0010_И2_Р2,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И2_Р2,,0,0,-,,2,2,17.04.2026,,,,14.05.2026,,,,04.06.2026,
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0020_И_Р,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ПЛ,,0020,МГ,Системы радиаторного отопления. План -1-го этажа между осями 13-27,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ПЛ-0020,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0020_И_Р,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И_Р,,0,0,-,,,,17.04.2026,,,,14.05.2026,,,,04.06.2026,
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0030_И_Р,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ПЛ,,0030,МГ,Системы радиаторного отопления. План -1-ого этажа между осями 41-27,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ПЛ-0030,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0030_И_Р,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И_Р,,0,0,-,,,,17.04.2026,,,,14.05.2026,,,,04.06.2026,
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0040_И_Р,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ПЛ,,0040,МГ,Системы радиаторного отопления. План -2-го этажа между осями 13-23,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ПЛ-0040,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0040_И_Р,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И_Р,,0,0,-,,,,17.04.2026,,,,14.05.2026,,,,04.06.2026,
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0050_И_Р,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ПЛ,,0050,МГ,Системы радиаторного отопления. План -2-го этажа между осями 23-36,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ПЛ-0050,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0050_И_Р,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И_Р,,0,0,-,,,,17.04.2026,,,,14.05.2026,,,,04.06.2026,
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0060_И_Р,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ПЛ,,0060,МГ,Системы радиаторного отопления. План -3-го этажа между осями 13-23,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ПЛ-0060,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0060_И_Р,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И_Р,,0,0,-,,,,17.04.2026,,,,14.05.2026,,,,04.06.2026,
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0070_И_Р,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ПЛ,,0070,МГ,Системы радиаторного отопления. План -3-го этажа между осями 23-36,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ПЛ-0070,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0070_И_Р,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И_Р,,0,0,-,,,,17.04.2026,,,,14.05.2026,,,,04.06.2026,
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0080_И_Р,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ПЛ,,0080,МГ,Системы радиаторного отопления. План -4-го этажа между осями 13-23,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ПЛ-0080,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0080_И_Р,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И_Р,,0,0,-,,,,17.04.2026,,,,14.05.2026,,,,04.06.2026,
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0090_И_Р,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ПЛ,,0090,МГ,Системы радиаторного отопления. План -4-го этажа между осями 23-36,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ПЛ-0090,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0090_И_Р,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И_Р,,,,-,,,,17.04.2026,,,,14.05.2026,,,,04.06.2026,
КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0100_И_Р,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00,ОВ,01,01,00,ПЛ,,0100,МГ,Система радиаторного отопления. План -5-го этажа,КУТ03-Р-ПИР-2-26-100-ОВ01.01.00-ПЛ-0100,КУТ03-Р-ПИР-2-26-РД-МГ-100-ОВ01.01.00-ПЛ-0100_И_Р,СБД-КУТ03-КМП-2-25-Р-100-ОВ01.01.00,#REF!,,,,N/A,Плановый,Плановый,Плановый,И_Р,,,,-,,,,17.04.2026,,,,14.05.2026,,,,04.06.2026,
